Team,PPP,eFG,ORebRate,TovRate,FTr,ThreeRate,BlkRate,AstRate,AstTo,dPPP,deFG,DRebRate,dTovRate,dFTr,dThreeRate,dBlkRate,dAstRate
Iowa St.,0.954,49.7,29,23.3,32.2,33.84697131,11.28084606,54.79616307,1.07,1.15,55,32,16.8,36,46.74593242,7.791164659,57.82414307
Jackson St.,0.965,47.5,32.9,22,32.9,34.20776495,7.023705004,50.375,0.79,1.047,52.5,29.1,19.1,34,39.22091782,11.08452951,51.81711606
Jacksonville,0.998,50.6,23.9,19.1,22.8,39.52095808,8.426966292,53.57142857,1.04,1.055,49.8,25.7,14.3,27,49.46770759,9.405940594,55.76271186
Jacksonville St.,1.01,50.5,29.4,20.2,31.8,43.43832021,7.904642409,49.46236559,0.86,1.073,52.5,24.1,16.5,29.5,49.17091837,8.236658933,57.47460087
James Madison,1.06,51.5,31.2,18.6,38.9,36.98936766,6.811989101,46.22057001,0.91,0.964,49.4,27.6,21.4,31.8,37.26495726,8.703374778,46.9895288
Kansas,1.066,52.6,28.7,17.5,29.8,33.80018674,10.21307862,58.88223553,1.33,0.965,47,28.7,20.3,31.1,35.28292915,7.122708039,46.50630011
Kansas St.,1.061,52.3,29.9,19.3,36.1,36.10177628,7.656967841,63.57960458,1.18,0.971,48.1,30.3,21,36.3,36.90821256,10.51840721,56.03644647
Kennesaw St.,1.05,52.7,27.3,17.8,35.9,37.5960483,7.642725599,53.83693046,1.12,1.013,51.1,25.4,19.5,36.8,38.85135135,8.443271768,47.58883249
Kent St.,1.083,50.8,31.2,16.3,31.5,38.32665331,12.3605948,45.20856821,1.07,0.961,47.3,30.2,22.2,38.1,40.08908686,7.717303006,50.67750678
Kentucky,1.11,50.6,39.2,17.5,31.9,29.97555012,10.04823151,55.11302476,1.28,1.009,48.6,25.1,16.6,29.9,35.51062727,5.237430168,48.36759371
LIU,1.01,48.5,30.5,18.1,28.3,24.3348475,8.01843318,56.69781931,0.81,1.052,51,30.5,17.9,31.6,35.18518519,9.262435678,59.2364532
LSU,0.96,48.7,23.8,17.9,24.5,38.93333333,8.103130755,52.86458333,1,1.011,50.8,25.6,18.3,29.4,41.58149543,10.3930131,51.98555957
La Salle,0.972,47.6,32.1,21.2,32.2,35.64064801,8.461538462,47.2769409,0.96,1.113,53,33.4,17.1,30.8,34.86973948,11.5942029,50.66815145
Lafayette,0.983,49.8,19,17.5,31.1,48.43168527,9.412861137,68.83963494,1.33,1.027,50.4,26.6,16.6,28.6,41.23767798,9.175257732,55.25
Lamar,1.113,55.4,25.3,15.9,26.2,30.59273423,9.893617021,52.68656716,0.87,0.95,49.1,20.2,19,27.7,43.88059701,10.28466483,64.35124509
Lehigh,0.959,48.8,23,19.5,28.3,33.59173127,5.571030641,48.23529412,0.96,1.079,52.4,31,17.8,31.1,34.84573503,8.073929961,47.56097561
Liberty,1.057,53.7,25,17.3,23.6,48.67495944,6.221408966,58.30429733,1.46,1.029,50.2,24.6,15.6,23.3,37.00288184,8.640674394,41.0738255
Lindenwood,1.028,49.2,29.3,18,31.9,35.64535585,9.649122807,45.72649573,0.8,1.105,56.1,30.4,19.3,37,41.27074986,8.24742268,54.94923858
Lipscomb,0.875,45.6,24.7,22.7,31.7,37.77280358,7.009760426,48.80668258,1.12,1.114,55.1,30.3,16.7,32.1,38.98213319,7.643884892,40.7960199
Little Rock,1.019,48.5,34.6,18.7,34.4,29.91071429,5.988593156,54.40806045,1.13,1.021,49.8,28,18.2,30,38.65889213,8.996815287,53.30926594
Long Beach St.,1.066,50.2,32.1,17.8,33.6,23.65315546,9.098712446,50.85714286,1.04,0.994,51.2,26.9,21.6,33.5,39.66856551,6.85483871,55.1143201
Longwood,1.088,52.8,33.3,17.7,37,37.19298246,7.119386637,48.26666667,1.02,1.015,50.5,26.3,18.4,34.2,41.92111959,9.590316574,53.1884058
Louisiana,0.945,45.2,27.3,18.7,30,31.74157303,7.154605263,50.89605735,1.13,1.062,51.7,29.9,17.6,28.6,30.07475561,8.312757202,43.38422392
Louisiana Monroe,1.021,50.9,30.1,19.9,28.4,37.64420158,10.26392962,51.17370892,0.9,1.053,54,28.1,21.3,38.5,38.55855856,10.6134372,53.88739946
Louisiana Tech,0.956,48,28.2,22.3,32.9,41.09112014,8.743169399,46.22516556,0.86,1.134,54.1,30,15.1,30.6,42.91952589,10.83743842,59.75443383
Louisville,0.994,52.9,24.5,22.1,31.1,35.76470588,8.014247551,41.75977654,0.63,1.066,51.6,28.5,17.9,37.5,39.68850698,10.25641026,56.10034208
Loyola Chicago,1.068,53.1,30.1,18.3,31.6,40.17094017,8.901515152,56.53896962,0.92,1.057,51.8,24.6,16.2,34.9,38.06451613,9.897959184,51.23537061
Loyola MD,0.986,51.3,26.6,20.4,28.2,38.89875666,7.03564728,54,0.96,1.078,55.5,28.7,20.2,29.8,36.77342823,8.042635659,54.3902439
Loyola Marymount,1.014,47.3,31.7,18.4,33.7,43.07692308,7.317073171,42.56926952,0.88,1.064,51.8,28.8,17.5,30.3,33.1002331,8.608608609,45.45454545
Maine,0.989,51,22.9,18.7,22.9,35.2866242,5.810397554,51.06082037,1.03,1.052,53.4,30,20.3,28.7,36.83193818,8.661417323,52.12038304
Manhattan,0.973,49.2,26.6,19.8,31.5,36.07164917,9.5684803,51.35520685,0.91,1.042,51.3,34.2,20.5,30.5,36.16766467,8.888888889,56.3002681
Marist,0.976,47.9,25.9,18.1,28.9,42.38592633,10.48182587,47.91946309,0.91,1.015,47.9,28.9,16.8,28.4,37.53959873,8.301526718,48.53128991
Marquette,1.129,56,26.2,15.3,27,41.95032199,8.365608056,59.09090909,1.61,1.001,51,31.7,22.5,29.1,37.54233188,9.429477021,58.10663765
Marshall,1.11,52.6,31.7,15.5,26.2,36.94798822,12.60700389,56.97674419,1.53,0.976,47.7,32.6,20.1,28,34.00102722,4.046692607,46.11650485
Maryland,1.082,50.8,30,16.5,34.3,36.88311688,10.06144393,46.17169374,1.07,0.982,47.7,28.1,18.4,28.4,31.90376569,9.794238683,47.17444717
Maryland Eastern Shore,0.939,47.6,27,21.1,31.4,39.58197257,5.053763441,55.23809524,0.86,0.975,50.6,31.7,24.9,34.4,37.03452945,10.48648649,55.01519757
Massachusetts,0.985,46.4,34.5,20.2,32.2,29.71092077,11.19473189,54.58064516,0.95,1.012,50.2,27.9,19.2,32.4,40.74693423,8.225437928,59.17843389
McNeese St.,0.992,49,33.3,21.6,29.2,39.93710692,5.065502183,44.38964242,0.74,1.113,55,31.1,18.5,34.9,38.47393874,6.980802792,62.31555051
Memphis,1.085,53,31.2,18.3,35.4,29.05534351,13.09030655,54.38247012,1.17,0.981,46.7,32.7,20.8,34.4,42.90444655,9.482178884,55.4245283
Mercer,1.008,48.9,30.4,18.2,28.6,30.50458716,5.840071878,46.99738903,0.97,1.024,48.8,27.6,17.4,35.9,33.98576512,6.105610561,45.46703297
Merrimack,0.922,48.3,20.5,20.7,34.6,43.80315917,10.51738762,57.43740795,0.87,0.952,49.1,35.6,26,26.9,32.4742268,11.24324324,60.02621232
Miami FL,1.141,54.3,31.8,16.1,30.7,34.24036281,8.443465492,50.56710775,1.3,1.039,51.2,28.8,18.1,24,38.48238482,8.620689655,54.38950555
Miami OH,1.048,52,26.7,19.7,32.1,41.07473749,7.136150235,52.86885246,0.98,1.118,53.7,32.6,17.8,37.1,35.99759615,8.280922432,49.87309645
Michigan,1.062,51.6,25.6,15.2,30.8,37.31193581,11.39332366,46.10244989,1.16,1.01,47.9,25.8,14.4,25.8,33.78183566,7.04,45.19774011
Michigan St.,1.067,51.7,27.6,16.4,27.2,33.02469136,8.347107438,56.54152446,1.34,1.02,48.6,25.2,14.8,28,38.48500254,8.986175115,53.5971223
Middle Tennessee,1.034,51.2,31.9,19.3,29.4,35.4638009,13.94495413,41.40526976,0.82,1.023,51.6,29.2,21.8,34.6,34.01937046,8.413672217,45.80559254
Milwaukee,1.033,51.4,32.6,21.4,31.9,38.17204301,14.24914676,48.74251497,0.84,1.041,48.2,32.8,17.6,29.3,41.74950298,9.913043478,49.40334129
Minnesota,0.954,49,25,19.6,30.8,35.51682692,9.717868339,63.05555556,1.13,1.078,50.5,30.8,14.8,24.8,31.25,10.25163094,51.91846523
Mississippi,1.008,47.5,33.3,18.2,29.2,34.71288153,10.01628664,52.94117647,1.07,1.034,49.5,29.9,18,30.3,34.43673251,7.290015848,56.04395604
Mississippi St.,1,46.7,35.5,19.4,33.8,34.55578512,11.25,59.06862745,1.11,0.927,46.2,28.6,21.7,27.6,43.75338021,8.050513023,58.24175824
Mississippi Valley St.,0.889,45.4,28.6,23.5,38,27.60261749,6.007393715,46.99853587,0.62,1.089,53.3,32.4,19.5,39.8,39.48545861,9.120788825,53.51089588
Missouri,1.121,55,26.3,15.8,29.1,43.21223709,8.438061041,56.47773279,1.42,1.058,52.3,37.2,24,34.2,44.24424424,6.818181818,57.23905724
Missouri St.,1.022,50.1,33.2,19.1,27.2,43.13154831,13.52705411,48.64864865,0.95,1.004,49.3,26.9,18.6,30.4,39.10921293,9.621289662,48.64864865
Monmouth,0.9,43.8,30.3,21.1,33.1,25.10775862,8.512820513,52.94906166,0.84,1.094,54.4,32.9,21,38.8,45.95343681,9.352517986,55.9178744
Montana,1.079,53.8,24.4,17.3,29.1,39.84962406,7.163886163,49.45945946,1.1,1.07,51.2,25.1,15.9,37.9,34.97128271,7.083333333,46.1430575
Montana St.,1.05,51,25.7,17.8,44,33.42972817,8.669527897,49.80988593,0.99,0.994,49.8,25.4,20.1,35.1,34.03171008,5.560382276,40.20618557
Morehead St.,1.006,49,26.6,18.3,34.7,39.13043478,8.927038627,55.14705882,1.03,1.032,49.8,24.7,15.4,27.5,31.67155425,9.897959184,42.85714286
Morgan St.,0.948,47.8,29.8,22,31,29.80828695,11.17533719,54.16058394,0.84,1.023,50.7,37.6,23.8,41.8,33.7164751,9.603524229,55.83684951
Mount St. Mary's,0.961,48.6,27.8,20.8,25.9,33.88382688,6.506849315,52.68096515,0.89,1.022,48.9,29.9,17.9,29.2,36.07006021,8.26873385,49.29757344
Murray St.,1.031,49,27.5,16.3,33.2,32.74787535,7.149489322,48.11932555,1.09,1.078,51.8,27.4,15.6,24.4,41.97198276,7.582139848,52.88461538
N.C. State,1.107,51.4,30.4,13.3,25.3,37.12190651,11.84723305,44.09368635,1.36,1.013,49.8,26.2,18.9,34,33.5577421,6.851311953,45.75087311
